SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%)
57.6,0.3184,16.0,3.5,1.0222,0.1888
60.81,0.2105,16.5,3.48,0.8545,0.1001
61.07,0.2081,16.48,3.77,0.9255,0.0716
59.86,0.2313,16.63,3.69,0.9883,0.1094
59.86,0.2076,16.41,3.42,0.9862,0.0932
61.39,0.1743,16.53,3.43,0.8829,0.0873
60.72,0.2783,16.8,3.81,0.9907,0.1449
51.96,2.02,15.49,10.34,2.11,3.86
55.45,0.8258,16.83,6.53,0.9416,3.25
57.23,0.9242,17.76,6.87,0.9492,3.9
55.61,1.4112,16.72,7.74,1.91,4.48
54.75,1.4897,16.55,8.33,2.23,4.74
53.15,1.3459999999999999,16.66,7.32,2.02,4.35
54.37,1.3641,17.03,7.71,1.96,4.64
58.71,2.15,16.81,4.3,0.1761,0.77
62.71,2.07,17.5,2.99,0.0602,0.5281
57.51,2.42,16.54,4.23,0.1572,0.8363
59.12,1.46,16.68,2.71,0.1381,0.4467
57.23,2.51,16.7,4.46,0.14,0.6365
58.91,2.16,16.99,4.45,0.1762,0.7093
59.03,1.83,17.31,4.31,0.1889,0.7253
59.87,1.2495,17.26,4.23,0.0823,0.4197
61.09,2.01,17.59,4.95,0.2811,0.6377
59.0,1.75,16.94,4.08,0.1748,0.4756
62.44,1.2817,16.42,3.84,0.1599,1.1472
58.79,2.3,16.65,4.34,0.2347,0.6971
59.71,2.3,17.26,3.95,0.1239,0.624
59.07,2.5,17.08,4.28,0.2269,0.9391
57.25,0.6827,16.86,5.0,2.04,0.7589
58.39,0.7059,17.44,4.73,2.54,0.8592
58.42,0.6397,17.04,4.24,2.11,0.7951
58.77,0.5677,17.65,4.83,2.42,0.6757
60.17,0.5359,17.22,4.11,3.63,1.3030000000000002
59.52,0.5477,17.53,3.59,2.36,0.5359
59.17,0.6846,17.56,4.43,2.66,0.768
58.04,0.5172,17.21,4.46,2.39,0.6514
59.66,0.4194,17.49,4.42,1.44,0.3522
58.91,0.5294,16.82,4.02,2.24,0.6282
58.86,0.5215,17.48,4.75,2.42,0.6893
57.09,0.7416,16.52,5.12,2.51,0.8915
61.3272,0.48100000000000004,16.8096,4.25,2.32,0.4751
60.3273,0.7484,16.5024,4.7,2.4,0.8622
60.196000000000005,0.5417,16.56,4.65,2.35,0.5718
60.6808,0.4468,17.7792,3.34,3.65,0.5074
61.0343,0.5492,16.5408,4.36,2.29,0.5441
62.2463,0.4988,18.5088,3.48,3.13,0.5146
61.3272,0.5264,16.8384,4.89,2.41,0.5938
58.5901,0.5561,16.7904,4.71,2.23,0.5926
61.5191,0.5646,16.6368,3.9,0.8529,0.2825
61.9635,0.4618,17.0016,3.87,2.72,0.5574
60.7717,0.4684,16.1664,4.23,2.05,0.5126
58.9133,0.6315,16.896,3.67,2.75,0.7042
63.2,0.6321,16.07,2.83,0.0067,0.0095
64.9,0.6371,15.3,3.31,0.0144,0.0325
61.89,0.608,14.97,3.83,0.0252,0.0225
65.87,0.2786,16.96,1.55,0.0,0.0228
63.87,0.8109,15.36,3.59,0.0195,0.0
62.02,0.9427,16.0,3.45,0.0298,0.0738
